Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 30.0, -21.75
Query 2, 2, 20.0, 0.0
Query 3, 3, 30.0, -25.0
Query 4, 3, 30.0, -9.25
Query 5, 1, 10.0, 0
Query 6, 2, 20.0, -28.0
Query 7, 4, 40.0, -6.1
Query 8, 0, 0.0, 0
Query 9, 4, 40.0, -0.8999999999999999
Query 10, 0, 0.0, 0
Query 11, 3, 30.0, -6.25
Query 12, 1, 10.0, 0
Query 13, 1, 10.0, 1
Query 14, 0, 0.0, 0
Query 15, 2, 20.0, -49.0
Query 16, 4, 40.0, -5.1
Query 17, 5, 50.0, -0.30000000000000004
Query 18, 0, 0.0, 0
Query 19, 1, 10.0, 1
Query 20, 0, 0.0, 0
Query 21, 0, 0.0, 0
Query 22, 2, 20.0, -4.0
Query 23, 2, 20.0, -64.0
Query 24, 0, 0.0, 0
Query 25, 3, 30.0, -5.5
Query 26, 0, 0.0, 0
Query 27, 2, 20.0, -16.0
Query 28, 4, 40.0, -4.0
Query 29, 2, 20.0, -3.0
Query 30, 2, 20.0, -17.0
Query 31, 5, 50.0, -2.65
Query 32, 2, 20.0, -7.0
Query 33, 2, 20.0, -17.0
Query 34, 4, 40.0, -3.4000000000000004
Query 35, 2, 20.0, -25.0
Query 36, 3, 30.0, -3.0
Query 37, 0, 0.0, 0
Query 38, 1, 10.0, 0
Query 39, 1, 10.0, 0
Query 40, 4, 40.0, -1.7000000000000002
Query 41, 3, 30.0, -11.5
Query 42, 4, 40.0, -0.8999999999999999
Query 43, 0, 0.0, 0
Query 44, 3, 30.0, 0.75
Query 45, 2, 20.0, -35.0
Query 46, 2, 20.0, 0.0
Query 47, 0, 0.0, 0
Query 48, 4, 40.0, -2.0
Query 49, 6, 60.0, -0.7428571428571429
Query 50, 0, 0.0, 0
Query 51, 0, 0.0, 0
Query 52, 4, 40.0, -0.7
Query 53, 2, 20.0, -3.0
Query 54, 1, 10.0, 0
Query 55, 4, 40.0, -0.3999999999999999
Query 56, 0, 0.0, 0
Query 57, 0, 0.0, 0
Query 58, 3, 30.0, -5.0
Query 59, 4, 40.0, -2.9
Query 60, 0, 0.0, 0
Query 61, 1, 10.0, 0
Query 62, 0, 0.0, 0
Query 63, 5, 50.0, -1.7999999999999998
Query 64, 1, 10.0, 1
Query 65, 1, 10.0, 0
Query 66, 1, 10.0, 0
Query 67, 2, 20.0, -8.0
Query 68, 2, 20.0, -19.0
Query 69, 1, 10.0, 1
Query 70, 3, 30.0, -5.5
Query 71, 3, 30.0, -5.75
Query 72, 1, 10.0, 0
Query 73, 0, 0.0, 0
Query 74, 4, 40.0, -4.0
Query 75, 4, 40.0, -5.3
Query 76, 5, 50.0, -2.5
Query 77, 2, 20.0, -9.0
Query 78, 1, 10.0, 0
Query 79, 2, 20.0, -25.0
Query 80, 4, 40.0, -11.4
Query 81, 4, 40.0, -2.0
Query 82, 1, 10.0, 0
Query 83, 1, 10.0, 0
Query 84, 1, 10.0, 0
Query 85, 2, 20.0, -96.0
Query 86, 2, 20.0, 0.0
Query 87, 2, 20.0, -7.0
Query 88, 0, 0.0, 0
Query 89, 4, 40.0, -0.10000000000000009
Query 90, 4, 40.0, -1.0
Query 91, 2, 20.0, -7.0
Query 92, 3, 30.0, -17.25
Query 93, 1, 10.0, 0
Query 94, 4, 40.0, 0.30000000000000004
Query 95, 0, 0.0, 0
Query 96, 3, 30.0, -5.0
Query 97, 1, 10.0, 0
Query 98, 2, 20.0, 0.0
Query 99, 3, 30.0, -11.75
Query 100, 0, 0.0, 0
Averages, 2.05, 20.5, -6.2634285714285705
